Name;Old_price;Price;Brand;Date
Asics Gel Quantum 180 5 G-TX WINTERIZED - Noir/Vert;179.90;None;FootKorner;2020-12-11 11
Asics Gel Quantum 360 x FK - Gris;169.90;None;FootKorner;2020-12-11 11
Puma RS-X Master - Blanc Bleu;109.90;65.94;FootKorner;2020-12-11 11
Air Max Invigor - Noir/Blanc;99.90;59.94;FootKorner;2020-12-11 11
Air Max 270 React - Blanc/Safran;159.90;None;FootKorner;2020-12-11 11
Puma RS-X3 Mercedes AMG - Noir;119.90;71.94;FootKorner;2020-12-11 11
Puma RS-Fast - Noir/ Vert/ Rouge;109.90;None;FootKorner;2020-12-11 11
Asics Gel Quantum 90 2 Junior - Noir/Bleu/Blanc;74.90;None;FootKorner;2020-12-11 11
Basket Under Armour UA HOVR™ Phantom 2 Glow- Noir;139.90;None;FootKorner;2020-12-11 11
Basket Under Armour UA HOVR™ Infinite 2 - Noir/Blanc;139.90;None;FootKorner;2020-12-11 11
Puma RS-2K Core - Noir;119.90;95.92;FootKorner;2020-12-11 11
Puma RS-2K Messaging - Noir/Rouge;119.90;95.92;FootKorner;2020-12-11 11
Puma RS-X - Millenium;109.90;87.92;FootKorner;2020-12-11 11
Puma RS-X Puzzle - Bleu/Blanc/Rouge;109.90;65.90;FootKorner;2020-12-11 11
Asics GEL-FujiTrabuco 8 - Noir/Orange;139.90;None;FootKorner;2020-12-11 11
Asics GEL-FujiTrabuco 8 - Bleu/Jaune;139.90;111.92;FootKorner;2020-12-11 11
Asics Gel Quantum 180 5 - Gris/Blanc;139.90;None;FootKorner;2020-12-11 11
Asics Gel Kayano 27 - Platinum/Gris foncé;199.90;None;FootKorner;2020-12-11 11
Puma RS-X3 NEO FADE - Noir/Blanc/Jaune;119.90;95.92;FootKorner;2020-12-11 11
Puma RS-2K BMW - Noir;129.90;103.92;FootKorner;2020-12-11 11
Puma Rider Play On Ibiza - Noir/Blanc;89.90;71.92;FootKorner;2020-12-11 11
Puma LQD Cell Extrol Archive - Noir;99.90;79.92;FootKorner;2020-12-11 11
Basket Under Armour UA HOVR Summit - Noir/Blanc/Vert;129.90;None;FootKorner;2020-12-11 11
Puma LQD Cell Extrol Archive - Violet;99.90;79.92;FootKorner;2020-12-11 11
